rank,user,participation,rating
241,1641129366,22,2503
242,Quang,110,2502
243,Infleaking,5,2501
244,Rafbill,120,2500
244,TangentDay,70,2500
246,TadijaSebez,58,2498
247,Torta,22,2497
247,newbiegcz,27,2497
247,I_love_Tima,35,2497
250,arthur.nascimento,62,2495
251,MicGor,73,2493
252,flashmt,180,2492
252,ErdemKirez,147,2492
254,PinkRabbit,61,2489
255,ashmelev,30,2488
255,yashChandnani,99,2488
255,alonefight,21,2488
258,yeputons,89,2487
258,dovmda,45,2487
258,zhouzhidao,23,2487
261,I_hate_Nikolay_Tretyakov,21,2485
262,kingofnumbers,141,2484
262,ATS,75,2484
262,FlyToTheSky,51,2484
265,hloya_ygrt,91,2483
266,TimonKnigge,72,2482
266,lezdzh,18,2482
266,heno239,37,2482
269,cescmentation_folch,45,2479
269,peehs_moorhsum,16,2479
271,ShinriiTin,23,2478
272,ShadowLight,66,2477
272,beginend,36,2477
274,Madball,46,2476
274,_noname,27,2476
274,waynetuinfor,68,2476
277,Juve45,96,2474
277,riantkb,30,2474
279,renjingyi,13,2473
279,yhx-12243,9,2473
279,Cinro_9baka,13,2473
282,f.bialas,49,2472
282,Itst,15,2472
284,kdh_9949,47,2470
284,pekempey,89,2470
284,sava-cska,60,2470
287,sqrtdecompton,85,2469
287,Ghastlcon,16,2469
287,_wxw,12,2469
287,AghaTizi,22,2469
287,rainbow_tree,4,2469
292,qoo2p5,67,2466
292,cnnfls_csy,21,2466
294,socketnaut,121,2464
295,radoslav11,118,2463
296,dimas.kovas,49,2462
297,alex9801,72,2461
298,ko_osaga,105,2460
299,LunarFlare,10,2459
299,Mazam,9,2459
299,NephrenRuqInsania,15,2459
302,Motarack,112,2458
303,shadowatyy,90,2455
303,Winniechen,42,2455
303,mmmod_lqs,10,2455
306,Roundgod,95,2454
306,RNS_CUS,26,2454
306,fcwww,13,2454
309,dragonslayerintraining,31,2453
309,PinkieRabbit,7,2453
311,nicklu0,13,2452
312,AlexDmitriev,195,2451
312,osmanorhan,79,2451
312,Kalam,76,2451
312,GabrielPessoa,28,2451
316,I_love_Nikaidou_Shinku,6,2450
317,Sert,115,2449
317,Laakeri,106,2449
317,Danylo99,94,2449
320,adamant,228,2448
320,muratt,87,2448
322,knightL,186,2447
322,ppavic,48,2447
324,Kurpilyansky,83,2446
324,mateusz,60,2446
324,fanache99,25,2446
324,briansu,49,2446
324,hugopm,59,2446
329,Wild_Hamster,171,2445
330,peanutpedo20,8,2444
331,ismagilov.code,74,2442
331,nick452,4,2442
333,sminem,8,2439
334,ffao,82,2438
334,liujunhao,53,2438
334,Constantius,55,2438
337,sumitacchan,11,2437
338,_Kuroni_,39,2436
338,lesskreker,11,2436
340,cristian1997,32,2435
340,kaldiuo,23,2435
342,Isaf27_loves_me,40,2434
342,Lily,35,2434
342,alishahali1382,55,2434
345,tfg,112,2433
345,liji,19,2433
347,Fdg,109,2432
347,Ra16bit,204,2432
347,xlk,22,2432
347,MAMBA,37,2432
351,huansuz1,42,2431
352,inaFSTream,10,2430
353,NaughtyMorzh,78,2428
353,djq_fpc,8,2428
355,lsmll,39,2427
355,KeyID,65,2427
355,capra,49,2427
358,Nikitosh,143,2426
359,dragoon,63,2425
359,PoDuReM,45,2425
359,lk_ZeroMaker,7,2425
362,TripleM5da,135,2424
362,kotamanegi,107,2424
362,Bruteforceman,58,2424
362,Tlatoani,21,2424
366,pwypeanut,43,2423
366,Jeel_Vaishnav,76,2423
368,szakubki,16,2422
369,Starlit,31,2421
370,mruxim,59,2420
370,KADR,225,2420
370,fram,61,2420
370,tamionv,27,2420
370,atoiz,4,2420
375,thjchph4trjnh,25,2419
375,teapotd,31,2419
377,znirzej,40,2418
377,Alpha_Q,140,2418
377,tourist4.0,31,2418
377,Expectation,10,2418
377,emengdeath,16,2418
382,UnstoppableSolveMachine,133,2417
383,SirRembocodina,112,2416
383,Nisiyama_Suzune,23,2416
383,Temotoloraia,63,2416
383,xoxo,129,2416
383,SidneyEarth,29,2416
388,andrew,135,2415
389,HeXun,13,2414
390,fuppy,54,2413
390,zhouzhendongYa,11,2413
392,hehezhou,7,2412
393,progmatic2,152,2411
393,ae04071,40,2411
393,Kekmaster,6,2411
396,egor_bb,77,2410
396,lqs2015,48,2410
398,TearinFree,20,2409
398,tatyam,25,2409
398,woookje,3,2409
401,jvjhfhg,22,2406
402,hld67890,48,2405
402,gyz_gyz,19,2405
404,catupper,104,2403
405,dario2994,46,2402
405,Tima,163,2402
407,taow,15,2401
408,Johnny_2002,27,2399
409,TonySnark,154,2397
409,A.K.E.E.,19,2397
411,dai,84,2396
412,deep_learning,25,2394
412,__.__,62,2394
412,Pickupwin,18,2394
415,-skyline-,33,2393
415,ei133333,114,2393
415,TheWayISteppedOutTheCar,100,2393
418,jijiang,20,2392
419,Namnamseo,38,2391
419,antony191,28,2391
419,D.Pavlenko,30,2391
422,I_Love_Tina,112,2390
423,antontrygubO_o,71,2389
423,risujiroh,68,2389
425,paulll,58,2388
425,skip1978,24,2388
425,MesyuraTheOldDumbGoblin,9,2388
428,bugCollector,10,2387
428,disposrestfuIIy,4,2387
430,woqja125,65,2386
431,Gassa,248,2384
432,cjtoribio,164,2382
432,satashun,84,2382
432,neko_nyaa,97,2382
435,StillBlueSkyOverhead,89,2380
435,prick,5,2380
437,chokudai,38,2379
437,The_Unbeatable,19,2379
439,VladaMG98,107,2378
439,GoGooLi,17,2378
441,Redpojoe,5,2377
442,Kilani,146,2376
443,JiK,60,2373
443,pr3pony,48,2373
445,RedNextCentury,175,2372
446,memopaper,40,2371
446,marX,85,2371
446,Bodo,45,2371
446,Giver,27,2371
450,klamathix,65,2370
450,zhangqingqi,21,2370
452,juckter,56,2369
453,eduardische,59,2368
453,edisonhello,62,2368
453,usachevd0,55,2368
453,AgiSeokhwan,22,2368
457,Ranklast,47,2367
457,cold_chair,9,2367
457,imalyd,20,2367
457,H-C-H,8,2367
461,azukun,91,2366
461,UoA_ZQC,41,2366
463,vilcheuski,160,2365
464,baluteshih,38,2363
465,tuna_salad,58,2361
465,hzt1,20,2361
467,ufo,29,2360
467,UtahaSenpai,20,2360
469,Arpa,125,2359
469,.I.,140,2359
469,Minnakhmetov,98,2359
469,.ckodser.,13,2359
473,yarrr,133,2358
473,Ashishgup,115,2358
473,Pigbrain,27,2358
473,xht37,21,2358
477,lzr_010506,53,2357
477,Radko,8,2357
479,MZuev,73,2356
479,lyk248289469,21,2356
479,__stdcall,45,2356
479,orzdjq,14,2356
479,ccf_n0i,5,2356
484,gina0605,25,2355
484,Mys_C_K,16,2355
484,he_____he,42,2355
487,scottai1,49,2354
488,_LeMur_,254,2353
488,fdironia,17,2353
490,KhaustovPavel,105,2352
490,FMota,60,2352
492,ahyangyi,15,2351
492,lanpang,47,2351
494,lessmeaning,132,2350
495,SoMuchDrama,93,2348
495,memset0c,18,2348
497,poisonous,17,2347
497,yybyyb,24,2347
499,Nextby,9,2345
500,xorfire,47,2344
500,Prabowo,16,2344
500,TrumPence,9,2344
500,rndspec,9,2344
500,ProjectSummer,11,2344
505,dlalswp25,39,2343
506,kilotaras,86,2342
506,danya090699,76,2342
506,Legilimens2019,7,2342
509,YaKon4ick,109,2341
509,kotatsugame,48,2341
511,aropan,124,2340
511,kalinov,16,2340
513,RsEnts,15,2339
513,mariand,38,2339
513,nvmdava,23,2339
516,the_art_of_war,47,2338
516,iaNTU,40,2338
516,RNS_KSB,15,2338
519,stevenkplus,77,2337
519,One_More,12,2337
519,thecodinglizard,3,2337
522,tmt514,68,2335
522,SaSa,44,2335
522,luhong,14,2335
522,alexandra_udristoiu,37,2335
522,upobir,38,2335
527,alphaGem,11,2334
527,FaVoR1Te,9,2334
529,cxmsqjh,13,2333
529,gs18115,40,2333
531,mHuman,143,2332
531,esbee,4,2332
533,hongrock,32,2330
533,Holidin,57,2330
533,hitman623,116,2330
