rank,country,user,affiliation,birth,rating,highest,match,win
1,BY,tourist,ITMO University,1994,4049,4208,33,15
2,RU,Petr,,1985,3862,3862,31,2
3,RU,Um_nik,HSE,1996,3768,3919,34,4
4,CN,apiad,unknown,1997,3758,3776,29,4
5,CH,w4yneb0t,ETH Zurich,,3710,3802,21,2
6,RU,LHiC,Moscow SU,,3674,3812,37,2
7,CA,ksun48,Massachusetts Institute of Technology,1998,3626,3741,33,1
8,JP,yutaka1999,The University of Tokyo,,3614,3724,32,1
9,RU,cospleermusora,,,3606,3783,25,3
10,JP,semiexp,"Preferred Networks, Inc.",,3594,3594,16,2
11,JP,snuke,AtCoder Inc.,1994,3525,3525,31,1
12,RU,eatmore,ITMO University,1989,3476,3511,16,1
13,US,ecnerwal,,1997,3467,3467,9,0
14,RU,vepifanov,Nizhny Novgorod State University,1992,3439,3439,13,0
15,PL,mnbvmar,University of Warsaw,1996,3409,3409,7,0
16,CN,wxh010910,Chengdu No.7 High School,,3406,3406,19,0
17,DE,Egor,Devexperts GmbH,1985,3376,3477,22,1
18,PL,Stonefeang,University of Warsaw,1997,3374,3425,15,1
19,PL,Marcin,University of Warsaw,1993,3352,3527,26,1
20,CN,jcvb,Tsinghua University,1997,3347,3407,13,1
21,RU,XraY,,,3321,3321,12,1
22,KR,dotorya,,1997,3319,3319,14,0
23,RU,pashka,ITMO University,1984,3299,3361,23,0
24,JP,yosupo,The University of Tokyo,1995,3298,3444,40,1
25,KR,koosaga,KAIST,1998,3274,3330,26,0
26,RU,endagorion,MIPT,1991,3257,3431,16,0
27,RU,SpyCheese,ITMO University,1998,3241,3506,13,1
28,PL,Swistakk,University of Warsaw,1993,3218,3218,23,0
29,CN,KujouKaren,,,3208,3208,7,0
30,JP,sugim48,,,3206,3319,23,1
31,SE,simonlindholm,KTH Royal Institute of Technology,1993,3201,3201,3,1
32,CN,lych_cys,,,3199,3199,9,0
33,KR,ainta,Seoul National University,1998,3190,3190,34,0
34,KR,molamola,,1998,3180,3180,26,0
35,CN,matthew99,MIT,1999,3177,3216,14,0
36,JP,maroonrk,The University of Tokyo,1999,3175,3175,39,0
37,JP,DEGwer,The University of Tokyo,1996,3165,3234,29,0
38,RU,aid,SPbSU,1996,3149,3207,39,0
39,CN,sevenkplus,Massachusetts Institute of Technology,1996,3145,3208,12,0
40,RU,Merkurev,Ural FU,1994,3141,3242,15,0
41,PL,Errichto,University of Warsaw,1995,3139,3181,16,0
42,RU,StanislavErshov,St Petersburg State University,1996,3130,3130,10,0
43,RU,zemen,Russia,1996,3122,3155,31,0
44,CN,fizzydavid,,2002,3115,3115,20,0
45,CN,newbiedmy,,2002,3108,3108,5,0
46,CN,maryanna2016,,1991,3101,3101,35,0
47,RU,ariacas,,1988,3093,3093,18,0
48,RU,kunyavskiy,vk.com,1995,3091,3292,19,0
49,JP,hos_lyric, ,,3082,3082,10,0
50,CN,fjzzq2002,,,3081,3081,19,0
51,LV,Alex_2oo8,whiteCryption,1996,3079,3127,22,0
52,CN,qiaoranliqu,,1999,3077,3077,8,0
52,HK,Factorio,Factorio,1995,3077,3134,9,0
54,RU,niyaznigmatul,ITMO University,1992,3072,3072,13,0
55,JP,chokudai, AtCoder Inc. CEO,1988,3056,3056,21,0
55,CN,mn3twe,,,3056,3056,11,0
57,JP,WA_TLE,☀☀太陽系☀☀,2001,3050,3120,48,0
58,RU,KAN,"Russia, Nizhny Novgorod, Nizhny Novgorod State University",,3045,3045,9,0
59,RU,Kostroma,MIPT,1995,3042,3042,19,0
60,NL,krijgertje,Novulo,1984,3036,3063,24,0
61,CN,miaom,,1900,3035,3067,10,0
62,UA,qwerty787788,ITMO University,1995,3027,3183,19,0
63,RU,TeaPot,Yandex,1994,3018,3091,10,0
64,TW,aaaaajack,Cornell University,1996,3012,3012,11,0
65,SE,aitch,University of Cambridge,1998,3005,3082,20,0
