rank,country,user,affiliation,birth,rating,highest,match,win
108,KR,tlwpdus,Seoul National University,2000,2870,2870,10,0
109,JP,uwi,"Recruit Communications Co., Ltd.",1983,2869,3142,47,0
110,KR,august14,Korea,,2868,2910,27,0
111,JP,rickytheta,Tokyo Institute of Technology,1997,2866,2866,79,0
112,KR,mulgokizary,Pink Panda University,1991,2862,2862,7,0
113,JP,kawatea,,,2858,2940,36,0
114,JP,natsugiri,,,2857,2861,34,0
114,RU,tinsane,,1998,2857,2857,11,0
116,JP,nuip,,1995,2852,2902,45,0
117,CN,sd0061,Beihang University,1994,2849,2849,11,0
118,ID,jonathanirvings,Google,1996,2848,2853,26,0
119,CN,waltz,,,2846,2846,16,0
120,CN,rqgao2014,Nanjing Foreign Language School,2000,2839,2839,12,0
121,FR,Rafbill,,1996,2838,2947,35,0
122,MY,zscoder,Chung Ling High School,2001,2837,2851,60,0
123,BY,Arterm,Moscow Institute of Physics and Technology,1996,2833,3160,35,0
124,JP,wo01,The University of Tokyo,,2829,2829,21,0
125,CN,fqw,,1993,2828,2828,7,0
126,RU,300iq,,2002,2826,2882,43,0
127,GE,USA,,,2825,2893,17,0
128,CN,fateice,,2000,2823,2823,4,0
129,CN,ftiasch,SJTU,1993,2821,2828,21,0
130,JP,joisino,Kyoto University,,2818,2818,15,0
131,CN,supy,,2003,2817,2817,27,0
132,CN,diamond_duke,Nanjing Foreign Language School,2003,2816,2816,24,0
133,TW,iloveUtaha,MIT,2001,2811,2811,22,0
134,KR,khsoo01,Seoul National University,2000,2810,2810,19,0
134,FI,Laakeri,University of Helsinki,1996,2810,2810,14,0
136,JP,kobae964,某社,1993,2807,2851,62,0
137,RO,geniucos,University of Oxford,1999,2805,2944,23,0
138,JP,E869120,Paken,2002,2804,2859,51,0
139,SK,xellos,KSP Slovakia,1994,2803,2835,26,0
139,CA,y0105w49,,,2803,2803,9,0
141,IR,Deemo,,1999,2802,2940,18,0
142,TW,eddy1021,National Taiwan University,,2790,2879,42,0
143,RU,Kaban5,,,2789,2809,20,0
144,HR,ikatanic,student,,2788,2832,14,0
145,RO,atatomir,--,1999,2787,2800,14,0
146,BY,progmatic,,2000,2786,2806,27,0
147,JP,beet,会津大学,1998,2779,2779,97,0
148,AU,jerrym,,,2769,2769,18,0
148,CN,YMDragon,,2000,2769,2769,6,0
150,KR,zigui,Seoul National University,1996,2760,2783,9,0
151,CN,ugly2333,NSFZ,2002,2755,2755,23,0
152,IN,rajat1603,Chennai Mathematical Institute,1998,2750,2750,24,0
153,JP,catupper,UT,1996,2748,2748,50,0
153,UZ,Timur_Sitdikov,,1992,2748,2792,42,0
155,TW,t1016d,National Taiwan University,1996,2747,2848,33,0
155,GQ,l__ZeRo_t,,,2747,2747,11,0
157,JP,kmjp, ,,2746,3050,64,0
158,JP,ats5515,The University of Tokyo,,2743,2743,79,0
158,AR,mjhun,Universidad Nacional de Cordoba,1994,2743,2795,12,0
160,JP,mcfx,,,2733,2733,11,0
161,JP,tomerun,"Recruit Communications Co., Ltd.",1983,2732,2884,28,0
162,US,lewin,,1993,2730,2759,16,1
163,PL,krismaz,Jagiellonian University,1995,2729,2855,21,0
164,JP,Aquarius,The University of Tokyo,,2727,2756,56,0
165,JP,climpet, ,,2725,2755,13,0
166,CN,palayutm,,,2719,2719,23,0
167,JP,camypaper,,,2718,2758,26,0
167,TW,johnchen902,National Taiwan University,1997,2718,2765,10,0
169,CN,sfiction,Zhejiang University,,2713,2761,15,0
169,CN,VegetableChicken,,,2713,2713,1,0
171,CN,jiaqiyang,Tsinghua University,1999,2711,2711,11,0
172,RU,Vercingetorix,,1989,2708,2708,8,0
173,CH,dacin21,ETH,,2707,2707,3,0
174,AU,izrak,,,2705,2705,6,0
175,JP,tempura0224,Kyoto University,1996,2703,2703,46,0
176,RU,andrey_efremov,,,2699,2699,11,0
177,JP,anta,...,,2697,2975,31,0
178,JP,Kmcode,Denmark,2001,2696,2696,46,0
179,CN,only_hard,,,2695,2695,8,0
180,CN,yanQval,,,2688,2688,7,0
181,LT,KrK,Google,1991,2686,2903,40,0
181,CN,zhongzihao,,,2686,2686,37,0
183,JP,hitonanode,NTT Media Intelligence Lab.,1993,2682,2682,29,0
184,CN,laofu,,,2677,2677,9,0
185,CN,Tommyr7,,2000,2672,2684,21,0
186,JP,sheyasutaka,,2003,2669,2669,51,0
187,CN,OhWeOnFire,,2002,2668,2720,15,0
188,IT,dario2994,,,2666,2666,12,0
189,JP,Komaki,東京大学,,2660,2660,8,0
189,AU,GendelPiekel,University Of New South Wales,1997,2660,2820,6,0
191,JP,zerokugi,某社,1992,2659,2753,41,0
191,CN,dy0607,Yali Middle School,2001,2659,2659,16,0
193,PL,Tabasz,University of Warsaw,1997,2658,2658,12,0
194,ID,wifi,Institut Teknologi Bandung,1996,2646,2698,45,0
194,RS,TadijaSebez,,2001,2646,2646,17,0
196,IN,Cerberus97,IIIT Delhi,1997,2640,2651,49,0
197,IR,alish,,2000,2638,2638,18,0
198,JP,Lepton,The University of Tokyo,,2636,2638,36,0
198,JP,satashun,The University of Tokyo,1996,2636,2689,54,0
200,JP,riantkb,Tokyo Tech,1995,2632,2647,69,0
200,JP,heno239,Kyoto University,1999,2632,2632,45,0
202,CN,AwD,,,2631,2688,2,0
